contest_id,competition_id,competition_name,date,location,weight_category,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round
464418,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,15240,325,325,0,,,0
464419,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,771,52947,771,0,,,1
464420,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,48040,771,48040,0,,,0
464421,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,172,19087,172,0,,,3
464422,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,15240,172,15240,0,,,2
464423,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,52947,15240,15240,0,,,3
464424,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,14900,15240,14900,0,,,1
464425,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,49477,52940,52940,0,,,3
464426,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,14900,52940,14900,0,,,2
464427,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,14900,771,14900,0,,,3
464428,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,2327,14900,14900,0,,,0
464429,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,6908,2327,2327,0,,,3
464430,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,52938,2327,2327,0,,,2
464431,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,6766,52938,52938,0,,,3
464432,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,48040,2327,2327,0,,,1
464433,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,4125,48040,48040,0,,,3
464434,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,325,48040,48040,0,,,2
464435,1856,Olympic Games Athens 2004,,"Athens, Greece",-52,325,12608,325,0,,,3
464437,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,24662,15909,24662,0,,,4
464441,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,52953,2870,2870,0,,,4
464443,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,7270,7991,7991,0,,,4
464445,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,36426,26593,26593,0,,,4
464446,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,3937,756,3937,0,,,4
464448,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,7515,52955,52955,0,,,4
464451,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,3328,695,695,0,,,4
464453,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,24662,1739,1739,0,,,2
464454,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,52956,7270,52956,0,,,3
464455,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,2870,52956,52956,0,,,2
464456,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,52956,1739,1739,0,,,1
464457,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,26593,1739,26593,0,,,0
464458,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,52957,36426,36426,0,,,3
464459,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,13963,36426,36426,0,,,2
464460,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,3328,36426,3328,0,,,1
464461,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,958,3328,3328,0,,,3
464462,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,52955,3328,3328,0,,,2
464463,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,954,3328,954,0,,,0
464464,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,24662,41223,24662,0,,,3
464465,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,954,24662,954,0,,,2
464466,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,954,1739,954,0,,,3
464467,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,7991,954,7991,0,,,1
464468,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,2870,840,2870,0,,,3
464469,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,7991,2870,7991,0,,,2
464470,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,7991,52956,7991,0,,,3
464471,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,26593,52957,26593,0,,,3
464472,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,13963,26593,26593,0,,,2
464473,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,13963,3937,13963,0,,,3
464474,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,695,26593,695,0,,,1
464475,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,695,7991,695,0,,,0
464476,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,4483,52955,52955,0,,,3
464477,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,695,52955,695,0,,,2
464478,1856,Olympic Games Athens 2004,,"Athens, Greece",-57,695,958,695,0,,,3
464480,1856,Olympic Games Athens 2004,,"Athens, Greece",-63,6358,52966,6358,0,,,4
464481,1856,Olympic Games Athens 2004,,"Athens, Greece",-63,133,52716,133,0,,,4
464485,1856,Olympic Games Athens 2004,,"Athens, Greece",-63,52963,419,419,0,,,4
