contest_id,competition_id,competition_name,date,location,weight_category_x,athlete_blue_id,athlete_white_id,winner_id,fight_duration,score_blue,score_white,round,athlete_id,first_name,last_name,country,gender,weight_category_y,height,weight,role
464240,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,2307,52794,2307,0,,,4,2307,Benjamin,DARBELET,FRANCE,M,,170.0,,blue
464241,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,218,58,58,0,,,4,218,Ludwig,PAISCHER,AUSTRIA,M,,170.0,,blue
464242,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,5225,5156,5156,0,,,4,5225,Modesto,LARA,DOMINICAN REPUBLIC,M,,0.0,,blue
464243,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,5527,52788,52788,0,,,4,5527,Siarhei,NOVIKAU,BELARUS,M,,,,blue
464244,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,44378,52790,52790,0,,,4,44378,David,FERNANDEZ,COSTA RICA,M,,0.0,,blue
464245,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,580,10471,580,0,,,4,580,Miguel,ALBARRACIN,ARGENTINA,M,,0.0,,blue
464246,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,580,52790,580,0,,,3,580,Miguel,ALBARRACIN,ARGENTINA,M,,0.0,,blue
464247,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,580,5156,5156,0,,,2,580,Miguel,ALBARRACIN,ARGENTINA,M,,0.0,,blue
464248,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52788,5156,5156,0,,,3,52788,Oliver,GUSSENBERG,GERMANY,M,,0.0,,blue
464249,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,5156,192,5156,0,,,1,5156,Tadahiro,NOMURA,JAPAN,M,,,,blue
464250,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,58,2307,58,0,,,3,58,Min-Ho,CHOI,REPUBLIC OF KOREA,M,,163.0,,blue
464251,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,58,192,192,0,,,2,58,Min-Ho,CHOI,REPUBLIC OF KOREA,M,,163.0,,blue
464252,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,5156,767,5156,0,,,0,5156,Tadahiro,NOMURA,JAPAN,M,,,,blue
464253,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,192,4909,192,0,,,0,192,Tsagaanbaatar,KHASHBAATAR,MONGOLIA,M,,170.0,,blue
464254,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52789,2835,52789,0,,,3,52789,Revazi,ZINTIRIDIS,GREECE,M,,,,blue
464255,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,414,10650,10650,0,,,3,414,Armen,NAZARYAN,ARMENIA,M,,168.0,,blue
464256,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,10650,52789,10650,0,,,2,10650,Masoud,HAJI AKHONDZADEH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,,blue
464257,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,10650,767,767,0,,,1,10650,Masoud,HAJI AKHONDZADEH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,,blue
464258,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,824,38631,38631,0,,,3,824,Anis,LOUNIFI,TUNISIA,M,,0.0,,blue
464259,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,31657,767,767,0,,,3,31657,Bazarbek,DONBAY,KAZAKHSTAN,M,,0.0,,blue
464260,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,767,38631,767,0,,,2,767,Nestor,KHERGIANI,GEORGIA,M,,169.0,,blue
464261,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,10650,58,58,0,,,0,10650,Masoud,HAJI AKHONDZADEH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,,blue
464262,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52789,4909,4909,0,,,1,52789,Revazi,ZINTIRIDIS,GREECE,M,,,,blue
464263,1856,Olympic Games Athens 2004,,"Athens, Greece",-60,52788,58,58,0,,,1,52788,Oliver,GUSSENBERG,GERMANY,M,,0.0,,blue
464264,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,9454,754,754,0,,,4,9454,Mohammed Ali,BEN SALEH,LIBYA,M,,,,blue
464265,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,17709,52933,52933,0,,,4,17709,Erkin,IBRAGIMOV,KYRGYZSTAN,M,,0.0,,blue
464266,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,14646,279,14646,0,,,4,14646,Mehman,AZIZOV,AZERBAIJAN,M,,0.0,,blue
464267,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2479,863,863,0,,,4,2479,Ramziddin,SAYIDOV,UZBEKISTAN,M,,188.0,,blue
464268,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,4922,9096,9096,0,,,4,4922,Ricardo,ECHARTE,SPAIN,M,,,,blue
464269,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52931,13049,52931,0,,,4,52931,Roman,GONTYUK,UKRAINE,M,,,,blue
464270,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,5228,52924,52924,0,,,4,5228,Jose,BOISARD,DOMINICAN REPUBLIC,M,,194.0,,blue
464271,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,49506,759,759,0,,,4,49506,Elsayed,ABOUMEDAN,EGYPT,M,,0.0,,blue
464272,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,224,28642,28642,0,,,4,224,Nyamkhuu,DAMDINSUREN,MONGOLIA,M,,0.0,,blue
464273,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,46942,2260,2260,0,,,4,46942,Cedric,CLAVERIE,FRANCE,M,,0.0,,blue
464274,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,836,299,836,0,,,4,836,Ilias,ILIADIS,GREECE,M,,180.0,,blue
464275,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,12169,10184,12169,0,,,4,12169,Ariel,SGANGA,ARGENTINA,M,,0.0,,blue
464276,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52929,11674,52929,0,,,4,52929,Dmitri,NOSSOV,RUSSIAN FEDERATION,M,,0.0,,blue
464277,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,6143,4164,4164,0,,,4,6143,Nuno,DELGADO,PORTUGAL,M,,0.0,,blue
464278,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2269,2074,2074,0,,,4,2269,Mario,VALLES,COLOMBIA,M,,,,blue
464279,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,5935,1093,1093,0,,,4,5935,Grigori,MAMRIKISHVILI,GEORGIA,M,,0.0,,blue
464280,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52933,9454,52933,0,,,3,52933,Richard,HAWN,UNITED STATES OF AMERICA,M,,,,blue
464281,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,14646,52933,14646,0,,,2,14646,Mehman,AZIZOV,AZERBAIJAN,M,,0.0,,blue
464282,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52924,14646,14646,0,,,1,52924,Florian,WANNER,GERMANY,M,,,,blue
464283,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,9096,13049,13049,0,,,3,9096,Reza,CHAH KHANDAGH,ISLAMIC REPUBLIC OF IRAN,M,,0.0,,blue
464284,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52924,13049,52924,0,,,2,52924,Florian,WANNER,GERMANY,M,,,,blue
464285,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52929,14646,52929,0,,,0,52929,Dmitri,NOSSOV,RUSSIAN FEDERATION,M,,0.0,,blue
464286,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,12169,299,299,0,,,3,12169,Ariel,SGANGA,ARGENTINA,M,,0.0,,blue
464287,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2260,299,2260,0,,,2,2260,Young-Woo,KWON,REPUBLIC OF KOREA,M,,176.0,,blue
464288,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2074,2260,2074,0,,,1,2074,Flavio,CANTO,BRAZIL,M,,175.0,,blue
464289,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,4164,11674,4164,0,,,3,4164,Roberto,MELONI,ITALY,M,,180.0,,blue
464290,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2074,4164,2074,0,,,2,2074,Flavio,CANTO,BRAZIL,M,,175.0,,blue
464291,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,754,2074,2074,0,,,0,754,Robert,KRAWCZYK,POLAND,M,,182.0,,blue
464292,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52933,754,754,0,,,3,52933,Richard,HAWN,UNITED STATES OF AMERICA,M,,,,blue
464293,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,863,14646,14646,0,,,3,863,Siarhei,SHUNDZIKAU,BELARUS,M,,180.0,,blue
464294,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,14646,754,754,0,,,2,14646,Mehman,AZIZOV,AZERBAIJAN,M,,0.0,,blue
464295,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52931,754,52931,0,,,1,52931,Roman,GONTYUK,UKRAINE,M,,,,blue
464296,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52931,9096,52931,0,,,3,52931,Roman,GONTYUK,UKRAINE,M,,,,blue
464297,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,759,52924,52924,0,,,3,759,Amar,BENIKHLEF,ALGERIA,M,,186.0,,blue
464298,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,52924,52931,52931,0,,,2,52924,Florian,WANNER,GERMANY,M,,,,blue
464299,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,836,52931,836,0,,,0,836,Ilias,ILIADIS,GREECE,M,,180.0,,blue
464300,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2260,28642,2260,0,,,3,2260,Young-Woo,KWON,REPUBLIC OF KOREA,M,,176.0,,blue
464301,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,12169,836,836,0,,,3,12169,Ariel,SGANGA,ARGENTINA,M,,0.0,,blue
464302,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,836,2260,836,0,,,2,836,Ilias,ILIADIS,GREECE,M,,180.0,,blue
464304,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,4164,52929,52929,0,,,3,4164,Roberto,MELONI,ITALY,M,,180.0,,blue
464305,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,2074,52929,52929,0,,,2,2074,Flavio,CANTO,BRAZIL,M,,175.0,,blue
464306,1856,Olympic Games Athens 2004,,"Athens, Greece",-81,1093,2074,2074,0,,,3,1093,Aleksei,BUDOLIN,ESTONIA,M,,0.0,,blue
464307,1856,Olympic Games Athens 2004,,"Athens, Greece",-90,52937,5324,5324,0,,,4,52937,Khaled,MEDDAH,ALGERIA,M,,,,blue
464309,1856,Olympic Games Athens 2004,,"Athens, Greece",-90,22015,1045,22015,0,,,4,22015,Winston,GORDON,GERMANY,M,,0.0,,blue
464310,1856,Olympic Games Athens 2004,,"Athens, Greece",-90,40787,1229,40787,0,,,4,40787,Jose Vicbart,GERALDINO ROSSELLO,DOMINICAN REPUBLIC,M,,0.0,,blue
464311,1856,Olympic Games Athens 2004,,"Athens, Greece",-90,52695,52951,52695,0,,,4,52695,Frederic,DEMONTFAUCON,FRANCE,M,,,,blue
